RID|CompanyID|BoothNo|CompanyNameEn|CompanyNameSc|CompanyNameTc|TechNameSc|TechnologyDescriptionSc|TechNameTc|TechnologyDescriptionTc|TechNameEn|TechnologyDescriptionEn
20021|260219|1.1B91|HANGZHOU TAYU MACHINERY CO,LTD|杭州大禹机械有限公司|杭州大禹机械有限公司|橡胶模压成型机|可安装不同类型的模具，特别适合复杂模具成型结构多样的制品。|橡胶模压成型机|可安裝不同類型的模具，特別適合複雜模具成型結構多樣的製品。|Rubber Molding Machine|Different types of moids can be installed,especially suitable for milding of products in diversified
20022|260299|1.1D11|KOSMEK(SHANGHAI).LTD|考世美（上海）贸易有限公司|考世美（上海）貿易有限公司|考世美MIMS电磁锁模系统|考世美电磁锁模系统，开发出独有的多重情报实时监视系统，并可将着磁力<数字化>，从而实现更加安全的快速换模，一切都只为安全出发。|考世美MIMS電磁鎖模系統|考世美電磁鎖模系統，開發出獨有的多重情報即時監視系統，並可將著磁力<數位化>，從而實現更加安全的快速換模，一切都只為安全出發。|KOSMEK  MIMS Magnet Clamping Systems|KOSMEK  MIMS Magnet Clamping Systems / Multi Information Monitoring System;Digital Magnetic Force Monitor Reduce Mold Change Over Cycle Increase Mold Change Safety
20023|257695|1.1E51|JSW MACHINERY TRADING (SHANGHAI) CO., LTD.|日制钢机械商贸（上海）有限公司|日制鋼機械商貿（上海）有限公司|J-ADS系列全电动塑料注射成形机|【Satisfaction-满足所有需求的应用程序】省电支持/预知保养/ I/O定制/成型支援【Smart-新型控制器SYSCOM5000i】动作工序显示(可视化)/多点触控操作/手柄开关/NET100系统(选购)【Strong-高刚性锁模装置/锁模控制】模具安装范围增大/高精度模具保护/平压模板【Stable-高精度射出/计量控制与灵活性】注塑模组选择广泛/丰富的螺杆种类/丰富多彩的保压切换|J-ADS系列全電動塑料注射成形機|【Satisfaction-滿足所有需求的應用程式】省電支援/預知保養/ I/O定制/成型支援【Smart-新型控制器SYSCOM5000i】動作工序顯示(視覺化)/多點觸控操作/手柄開關/NET100系統(選購)【Strong-高剛性鎖模裝置/鎖模控制】模具安裝範圍增大/高精度模具保護/平壓範本【Stable-高精度射出/計量控制與靈活性】注塑模組選擇廣泛/豐富的螺杆種類/豐富多彩的保壓切換|J-Ads Series Electric Servo Drive Injection Molding Machine|【Satisfaction-Satisfy all your Requirements】Energy Savings/Preventative Maintenance/Customized I/O Function/Molding Support【Smart-New Control System SYSCOM5000i】Operation Process Display(Visualization)/Multi-Touch Operation Lever/NET100 System(OP)【Strong-High rigidity Clamping Unit/Clamping Control】Increased loading size molds/High accuracy of molds protection Flat Platen Press【Stable-High Accuracy Injection/Recovery control and flexibility】Wide selections of injection modules/Variations of Scews Various Holding Pressure
20024|258572|1.1E71|DESMA RUBBER INJECTION MACHINERY (WUXI) CO. LTD.|无锡德士马注射机械有限公司|無錫德士馬注射機械有限公司|德士马智能工业4.0系统|德士马工业 4.0 以现代信息技术为基础，实现更加灵活高效、节约资源的生产流程。现有和未来数据源和分析结果的智能联网让我们得以开发新产品、新服务以及新的业务模型，也开辟了更高效的运营流程。 生产工厂可以提高它们的价值创造和竞争力。 基于大数据的新业务模型使可变或量化型生产成为可能。 网络兼容性简易化，允许自主学习、自动优化和自动控制生产流。 新设备和新系统实现更长的工厂和机器正常运行时间，产品质量透明并提升。 工作场所现代且符合人体工程学，员工在这样的环境中愉悦并充满热情地为公司的成功贡献力量。|德士馬智慧工業4.0系統|德士馬工業 4.0 以現代信息技術為基礎，實現更加靈活高效、節約資源的生產流程。現有和未來資料來源和分析結果的智慧聯網讓我們得以開發新產品、新服務以及新的業務模型，也開闢了更高效的運營流程。 生產工廠可以提高它們的價值創造和競爭力。 基於大資料的新業務模型使可變或量化型生產成為可能。 網路相容性簡易化，允許自主學習、自動優化和自動控制生產流。 新設備和新系統實現更長的工廠和機器正常執行時間，產品品質透明並提升。 工作場所現代且符合人體工程學，員工在這樣的環境中愉悅並充滿熱情地為公司的成功貢獻力量。|DESMA SmartConnect 4.U Ecosystem|DESMA SmartConnect 4.U is based on modern information technologies and aims at even more flexible, efficient and resource-conserving production processes. The intelligent networking of existing and future data sources and analysis results permits us to develop new products, services and business models and also to blaze the trail for more effi cient operational processes. Our customers capitalize on it in various ways: Production plants can raise their value creation and competitiveness. New business models based on big data enable a variable or quantity-oriented production. The ease of network compatibility allows self-learning, self-optimizing and self-controlling production fl ows. New devices and systems realize a higher plant and machine uptime with a more transparent and improved product quality. Employees at modern and ergonomically workplaces make their contribution to the company success with joy and enthusiasm.
20028|258771|1.1K143|CHUO YII ENTERPRISE CO|兆邑实业有限公司|兆邑實業有限公司|顶部调节双出口高效风环|顶部调节风环可在不停止押出机的情况下进行微调或换线的调整，为整个吹膜生产线带来更高的效率。 特殊的内部结构与双出口设计，出风时提供高速而平整的强势冷却风，冷却同时也兼顾稳定膜泡。 此风环特别适用于HDPE、LDPE、LLDPE、多层膜、薄膜与厚膜。|頂部調節雙出口高效風環|頂部調節風環可在不停止押出機的情況下進行微調或換線的調整，為整個吹膜生產線帶來更高的效率。 特殊的內部結構與雙出口設計，出風時提供高速而平整的強勢冷卻風，冷卻同時也兼顧穩定膜泡。 此風環特別適用於HDPE、LDPE、LLDPE、多層膜、薄膜與厚膜。|Top Handle Adjustable Dual-lip Air Ring|Top Handle Adjustable Air Ring can adjusting continuous and easily without stoping extruder.  All of fine tuning or producing line changing can be more efficient. Special inner maze & dual-lip design can output cooling air strongly and keep bubble stabilizing.  This air ring is suitable for HDPE, LDPE, LLDPE multi-layer, thin film and also thick film.
20025|258814|1.1F61|FU CHUN SHIN MACHINERY MANUFACTURE CO., LTD.|富强鑫精密工业股份有限公司|富強鑫精密工業股份有限公司|模内贴标生产系统(CT-e 系列)|FCS全新发表之机种，整合奥地利高阶控制器与意大利伺服马达，打造高射速、长保压的全伺服动力驱动技术，计量精准，可开模、顶出、加料多轴同动，利于生产较短成型周期与长保压之成型需求。并兼具耐荷重、低阻抗，低耗能与低噪音等优势，适用于食品包装、光学、医疗等产业。更可搭载智能制造系统，实现无人化监控管理。|模內貼標生產系統(CT-e 系列)|FCS全新發表之機種，整合奧地利高階控制器與義大利伺服馬達，打造高射速、長保壓的全伺服動力驅動技術，計量精準，可開模、頂出、加料多軸同動，利於生產較短成型週期與長保壓之成型需求。並兼具耐荷重、低阻抗，低耗能與低噪音等優勢，適用於食品包裝、光學、醫療等產業。更可搭載智慧製造系統，實現無人化監控管理。|In Mold Labeling Molding System (CT-e Series)|CT-e series is a newly released model of All-Electric IMM in combination of Austrias controller and Italys servo motor (PHASE) which increase the injection velocity, holding time and shot volume accuracy. The mold opening, ejecting, and plasticizing processes can operate simultaneously, reducing the machine cycle time. And, this series adopting Japans injection screw (NSK) and linear ball slider in injection base moving unit enhances the smooth operation and energy saving. It is suitable for some product requirements such as 3C, medical or optical products. Moreover, it is capable of Intelligent ManuFactory (iMF 4.0) that uses mold cavity flow balance module for monitoring and automatic compensation and screening of defective products. It could achieve unmanned production monitoring and satisfy the demand of customization.
20026|258814|1.1F61|FU CHUN SHIN MACHINERY MANUFACTURE CO., LTD.|富强鑫精密工业股份有限公司|富強鑫精密工業股份有限公司|新世代智慧成型系統 (FA 系列)|富强鑫新一代高效节能注塑机，是集合性能、效能与智能于一体的全新机种， 将射出单元与夹模单元全面升级，可创造出多样性产品及稳定的性能质量，车壁结构强度提升30%、伺服节能油泵达GB一级节能验证，使得射出精度与稳定度大幅提升并延长设备寿命，更整合高阶电控系统优势，提供模块化规格选型及差异化技术整合与服务，满足汽车、3C、食品包装、薄壁容器等各式产业需求。|新世代智慧成型系統 (FA 系列)|富強鑫新一代高效節能注塑機，是集合性能、效能與智慧於一體的全新機種， 將射出單元與夾模單元全面升級，可創造出多樣性產品及穩定的性能品質，車壁結構強度提升30%、伺服節能油泵達GB一級節能驗證，使得射出精度與穩定度大幅提升並延長設備壽命，更整合高階電控系統優勢，提供模組化規格選型及差異化技術整合與服務，滿足汽車、3C、食品包裝、薄壁容器等各式產業需求。|New Generation Molding System (FA series)|FA series is advanced toggle hydraulic and servo energy-saving IMM that possess power-saving, clean and high efficient in response to the trend of intelligent production. Not only injection unit and the clamping unit are upgraded, also with human ergonomics concept and aesthetics. Its fast and beautiful mold open-close smoothness and low noise performance that being a leading machine of FCS. The Platen strength improvement that increase by 30% to improve the mold lifetime, and adopted linear guide for making the injection control precise and stable. Moreover, FCS provide optional modular specification to meet the requirement such as food packaging, thin-walled container, 3C industries.
20032|259587|1.2C113|KING-MO MACHINERY|无锡鼎茂机械制造有限公司|無錫鼎茂機械製造有限公司|高速制袋机|EtherCAT系统总线控制，全伺服驱动，高速高效制袋机，低废品率|高速製袋機|EtherCAT系統匯流排控制，全伺服驅動，高速高效製袋機，低廢品率|High Speed Bag Making Machine|EtherCAT system, all Servo control, High speed, Low waste
20039|261538|1.2H103|HPF MINERALS LTD.|HPF MINERALS LTD.|HPF MINERALS LTD.|TREMIN 矿物填料|通过根据各种应用对矿物填料进行有针对性的表面改性， 可以在聚合物体系或最终零件中实现以下性能： 高耐候性和耐化学性 高机械强度 更高的杨氏模量 更高的填充度 优异的可加工性|TREMIN 礦物填料|通過根據各種應用對礦物填料進行有針對性的表面改性， 可以在聚合物體系或最終零件中實現以下性能： 高耐候性和耐化學性 高機械強度 更高的楊氏模量 更高的填充度 優異的可加工性|TREMin wollastonite fillers|Silanised wollastonite grades of the product range TREMIN can positivley influence the mechanical properties of polyamide and polypropylene. With a specific surface treatment attuned to the poylmer system, the following advantages are achieved: - high weathering and chemical resistance - high mechanical strength - increased tensile modulus - enhanced filling degree - excellent processability
20027|258814|1.1F61|FU CHUN SHIN MACHINERY MANUFACTURE CO., LTD.|富强鑫精密工业股份有限公司|富強鑫精密工業股份有限公司|多組分成型系統 (FB 系列)|富强鑫为业界最早研发双色机之厂商，在多组分成型工艺超过35年的技术发展与经验，历经消费者需求不断提升，所发展的FB系列精密双色机也持续进化，具有转盘、转轴、夹层混色、共射设计，最多可搭配4组射出单元及提供高达19组配置形式。闭回路伺服阀、单缸射出结构，以及专利转盘定位夹具，使高速成型时定位精准又稳定，适用于医疗器材、按键、车灯等精细双色制品之生产。|多組分成型系統 (FB 系列)|富強鑫為業界最早研發雙色機之廠商，在多組分成型工藝超過35年的技術發展與經驗，歷經消費者需求不斷提升，所發展的FB系列精密雙色機也持續進化，具有轉盤、轉軸、夾層混色、共射設計，最多可搭配4組射出單元及提供高達19組配置形式。閉迴路伺服閥、單缸射出結構，以及專利轉盤定位夾具，使高速成型時定位精準又穩定，適用於醫療器材、按鍵、車燈等精細雙色製品之生產。|Multi-component molding system (FB series)|FCS being a leading position of multi-component field which successfully research and develop dual color injection molding over 35 years. With designs of Rotary table, Rotary shaft, Sandwich/Interval that is able to allocate 4 sets of injection unit, and has 19 types of multi-component configuration, and the maximum clamping force of 1,900 tons. FB series equipped by PRO/ENGINEER computer aid designed clamping system, the clamp stroke and distance between tie bars have been enlarged for versatile usage. And the high efficiency injection unit, two isolated barrel sets inject at the same time which reduce the cycle time to get more profit. Concentrating on safety design, FB series apply multiple protection devices. Enlarged skates and adjustable screws help guide the moving platen and ensure the mold position to be precise, to protect the molds. It suitable for multi-color and multi-component, and has been widely applied to cell phones, pen-making, automobiles, handworking tools.
